"","Country","Afrobarometer Round Number","Survey Start Date","Survey End Date","Survey Duration","Region","Credibility of Region","Average Dates of Violence","Start Dates of Violence","End Dates of Violence","Casualties","Fatalities High Estimate","Fatalities Low Estimate","Fatalities Average","Injuries","Notes","Sources"
"102","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",1,2014-12-01,2014-12-01,2014-12-01,NA,1,1,1,NA,"Casualties in northeast Kenya town attack: Red Cross;One killed, dozen wounded in northeast Kenya attack;1st LD Writethru: At least 1 killed, 12 injured in northern Kenya explosions;Somali Militants Kill 36 in Kenya Border Attack","UCDP"
"103","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",2,2014-11-22,2014-11-22,2014-11-22,NA,28,28,28,NA,"1st LD Writethru: At least 28 killed in northern Kenya bus attack;Gunmen execute 28 on Kenya bus near Somalia border: police;Gunmen execute 28 on Kenya bus near Somalia border: police;Shebab Islamists claim responsibility for Kenya's deadly bus attack;Al-Shabaab claims responsibility for Kenya bus attack","UCDP"
"104","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",1,2014-11-21,2014-11-21,2014-11-21,NA,6,4,4,NA,"TURKANA: Tension high after raiders kill four;Bandits Take Fight to Turkana South","UCDP"
"105","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",2,2014-11-19,2014-11-19,2014-11-19,NA,5,5,5,NA,"At Least Five Killed in Marsabit County Cattle Rustling Attack","UCDP"
"106","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",2,2014-11-11,2014-11-11,2014-11-11,NA,10,8,10,NA,"Ten killed in battle over livestock in central Kenya;Africa Focus: Calm returns to northern Kenya after killing of 8 people","UCDP"
"107","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",3,2014-11-02,2014-11-02,2014-11-02,NA,6,6,6,NA,"Six Shabaab Killed in KDF Barracks, AP Camp Attacks","UCDP"
"108","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",3,2014-10-17,2014-10-07,2014-10-28,NA,3,0,0,NA,"Turkana Governor Asks Security Council to Help Stop Area Killings","UCDP"
"109","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",4,2014-10-17,2014-10-07,2014-10-28,NA,3,0,0,NA,"Turkana Governor Asks Security Council to Help Stop Area Killings","UCDP"
"110","Liberia","Round 6",2015-05-06,2015-05-22,16,"Golakonneh",2,2015-05-18,2015-05-18,2015-05-18,NA,0,0,0,NA,"Mine workers of the G-5 group of Companies instituted a two-day peaceful strike action from Monday on the compound of the company in Kinjor, Grand Cape Mount County over payment of benefits","ACLED"
"111","Liberia","Round 6",2015-05-06,2015-05-22,16,"Fuamah",1,2015-05-01,2015-05-01,2015-05-01,NA,0,0,0,NA,"Workers of China Union in Bong Mines, Bong County went on a go-slow protest from 1st to 6th May demanding better conditions at work.","ACLED"
"112","Liberia","Round 6",2015-05-06,2015-05-22,16,"Kolahun",1,2015-04-22,2015-04-22,2015-04-22,NA,0,0,0,NA,"A major check point in Kolahun District, Lofa County has been completely vandalized by some motorcyclists in defense of one of their colleagues who was said to have been flogged allegedly by an officer of the Liberia National Police (LNP) in Lofa County.","ACLED"
"113","Liberia","Round 6",2015-05-06,2015-05-22,16,"Greater Monrovia",1,2015-04-18,2015-04-18,2015-04-18,NA,0,0,0,NA,"Seven hundred Liberian Ebola workers took to the streets of the capital Monrovia for a second day on Saturday to demand promised hazard pay. The workers hired by MSF on Saturday blocked the entrance to Liberias biggest Ebola facility.","ACLED"
"114","Liberia","Round 6",2015-05-06,2015-05-22,16,"Greater Monrovia",1,2015-04-16,2015-04-16,2015-04-16,NA,0,0,0,NA,"Enraged motorcyclists resorted to violence in Redlight, Paynesville yesterday in retaliation for the alleged killing of their fellow rider by a police officer. The rioting resulted in the burning down of a police substation. Several police officers reportedly sustained serious injuries and were taken to a nearby health facility.","ACLED"
"115","Liberia","Round 6",2015-05-06,2015-05-22,16,"Greater Monrovia",2,2015-04-16,2015-04-16,2015-04-16,NA,1,1,1,NA,"A Liberian police officer allegedly beat a motorcyclist to death following a heated dispute between the police officer (not named) and a rider only identified as Alfred. Government claims the motorist fell from his bike when he was fleeing from Police after he allegedly assaulted one of them at the GSA Road intersection.","ACLED"
"116","Liberia","Round 6",2015-05-06,2015-05-22,16,"Greater Monrovia",1,2015-04-14,2015-04-14,2015-04-14,NA,1,1,1,NA,"A motorcyclist was killed by a soldier of the Armed Forces of Liberia following a scuffle on Tuesday in Thinker Village Community in Paynesville. Meanwhile, police have arrested the soldier and are investigating the event.","ACLED"
"117","Liberia","Round 6",2015-05-06,2015-05-22,16,"Greater Monrovia",1,2015-04-09,2015-04-09,2015-04-09,NA,0,0,0,NA,"Workers of almost all of Liberias Ebola Treatment Units (ETUs) have staged a major protest in Monrovia, demanding benefits owed them by the Government of Liberia. The workers, predominantly healthcare practitioners, gathered at the seat of the Liberian legislature early Thursday morning to inform lawmakers about their over four months unpaid benefits.","ACLED"
"118","Liberia","Round 6",2015-05-06,2015-05-22,16,"Sam Gbalor",1,2015-04-08,2015-04-08,2015-04-08,NA,0,0,0,NA,"Students of Cestos High School in Rivercess County yesterday morning stormed the county administration building to express their anger and frustration, chanting, """"No renovation, no school, no By-Election."""" According to the reports, the students broke doors, windows, chairs and other furniture in the administrative building housing the Superintendents compound. Just before the day ended, the police gained control of the crowd and managed to arrest a student who is believed to be the leader of the demonstration.","ACLED"
"119","Liberia","Round 6",2015-05-06,2015-05-22,16,"Mambah Kaba",1,2015-04-07,2015-04-07,2015-04-07,NA,0,0,0,NA,"Several aggrieved citizens of Giah Town, Disco Hill, Margibi County on Tuesday, April 7 blocked the only road leading to a place where Ebola bodies are buried. The citizens say the Government of Liberia owes them a balance of US$25,000 for the 25 acres of land, which they provided to the government.","ACLED"
"120","Liberia","Round 6",2015-05-06,2015-05-22,16,"Nyenebo",2,2015-04-07,2015-04-07,2015-04-07,NA,0,0,0,NA,"A """"corroner jury"""" team that went to investigate the death of a disabled man who was beaten by DEA officials was unable to interview people on the crime scene because the area was hostile, and protests were ongoing.","ACLED"
"121","Malawi","Round 6",2014-03-01,2014-04-27,57,"Mangochi",1,2014-04-11,2014-04-11,2014-04-11,NA,0,0,0,NA,"In Mangochi, Muslims protested for a stop to the use of Muslim women as dancers in political rallies. Banda was using women dressed in the hijab and performing the """"Zikiri"""" at political rallies.","ACLED"
"122","Malawi","Round 6",2014-03-01,2014-04-27,57,"Lilongwe",1,2014-04-07,2014-04-07,2014-04-07,NA,1,1,1,NA,"Key witness for cashgate scandal murdered","ACLED"
"123","Malawi","Round 6",2014-03-01,2014-04-27,57,"Machinga",1,2014-03-25,2014-03-25,2014-03-25,NA,1,1,1,NA,"Police condemned mob justice at Mawila elementary school where """"where students allegedly assaulted to death a man and set him ablaze for allegedly stealing two pairs of trousers and a pair of shoes from one of the hostels early morning Tuesday. """"","ACLED"
"124","Malawi","Round 6",2014-03-01,2014-04-27,57,"Mzimba",1,2014-03-18,2014-03-18,2014-03-18,NA,0,0,0,NA,"A petrol bomb was thrown into a DPP car.","ACLED"
"125","Malawi","Round 6",2014-03-01,2014-04-27,57,"Thyolo",1,2014-03-16,2014-03-16,2014-03-16,NA,2,2,2,NA,"Opposition DPP supporters rioted Bandas speech In Thyolo. They threw stones at PP supporters and broke several cars. Police intervened by firing teargas and rubber bullets. 1 rioter and 1 police officer died in the chaos.","ACLED"
"126","Malawi","Round 6",2014-03-01,2014-04-27,57,"Blantyre",1,2014-03-16,2014-03-16,2014-03-16,NA,0,0,0,NA,"After the riots, members of the Peoples Party beat up an aid to the oppositions presidential candidate.","ACLED"
"127","Malawi","Round 6",2014-03-01,2014-04-27,57,"Blantyre",1,2014-02-27,2014-02-27,2014-02-27,NA,0,0,0,NA,"Protests for """"call for the disclosure of the names of 68 public officials and business people being tried for corruption in the country""""","ACLED"
"128","Malawi","Round 6",2014-03-01,2014-04-27,57,"Blantyre",1,2014-02-25,2014-02-25,2014-02-25,NA,0,0,0,NA,"Protests for """"President Joyce Banda to resign and announced a series of protests and disobedience campaigns. """"","ACLED"
"129","Malawi","Round 6",2014-03-01,2014-04-27,57,"Lilongwe",1,2014-02-17,2014-02-17,2014-02-17,NA,1,1,1,NA,"A man attempted to enter the home of his ex wife but when the ex heard someone enter the house, she called for the community. The community rioted/acted as mob justice and killed the man.","ACLED"
"130","Malawi","Round 6",2014-03-01,2014-04-27,57,"Lilongwe",1,2014-02-12,2014-02-12,2014-02-12,NA,0,0,0,NA,"Students rioted the school after a teacher banned students from class for not paying for a broken chair. When police arrived, students pelted stones at the police to which the police responded with tear gas.","ACLED"
"131","Malawi","Round 6",2014-03-01,2014-04-27,57,"Lilongwe",1,2014-02-05,2014-02-05,2014-02-05,NA,2,2,2,NA,"Two people were burned to death as a result of mob justice.","ACLED"
"132","Mali","Round 6",2014-12-01,2014-12-14,13,"Gao",3,2014-12-11,2014-12-11,2014-12-11,NA,7,7,7,NA,"A joint operation by French and Malian armed forces killed at least 7 militant Islamists of the al-Murabitoun group, and at least 3 were taken prisoner. Among those killed was Ahmed el Tilemsi, the leader of the group.","ACLED"
"133","Mali","Round 6",2014-12-01,2014-12-14,13,"Menaka",1,2014-12-04,2014-12-04,2014-12-04,NA,0,0,0,NA,"3 Malian civilians from the same family were kidnapped by armed men near Menaka. They are believed to have been taken by MUJAO, as other attacks have taken place in the same area carried out by MUJAO.","ACLED"
"134","Mali","Round 6",2014-12-01,2014-12-14,13,"Tessalit",1,2014-12-02,2014-12-02,2014-12-02,NA,0,0,0,NA,"3 Chadian peacekeepers were injured, one seriously, when their vehicle hit a mine near Aguelhoc.","ACLED"
"135","Mali","Round 6",2014-12-01,2014-12-14,13,"Kidal",1,2014-11-25,2014-11-25,2014-11-25,NA,0,0,0,NA,"French forces have carried out 5 days of air operations, including airstrikes, over the Amettetai valleys in northern Mali. Four arms caches were destroyed and training camps were targeted. Casualties were not reported.","ACLED"
"136","Mali","Round 6",2014-12-01,2014-12-14,13,"Gao",2,2014-11-25,2014-11-25,2014-11-25,NA,2,2,2,NA,"Two soldiers killed and four or more wounded in a convoy providing security to a government minister when they drove over a landmine.","ACLED"
"137","Mali","Round 6",2014-12-01,2014-12-14,13,"Tessalit",1,2014-11-25,2014-11-25,2014-11-25,NA,0,0,0,NA,"38 to 100 Chadian MINUSMA soldiers abandoned their base in protest of late payments and demanding better working conditions. They returned after two days when MINUSMA agreed to improve camp conditions.","ACLED"
"138","Mali","Round 6",2014-12-01,2014-12-14,13,"Kidal",2,2014-11-22,2014-11-22,2014-11-22,NA,1,1,1,NA,"In Aguelhok and Kidal, suspected al-Qaeda-linked rebels kidnapped 10 children and killed 2 others who tried to escape.","ACLED"
"139","Mali","Round 6",2014-12-01,2014-12-14,13,"Tessalit",2,2014-11-22,2014-11-22,2014-11-22,NA,1,1,1,NA,"In Aguelhok and Kidal, suspected al-Qaeda-linked rebels kidnapped 10 children and killed 2 others who tried to escape.","ACLED"
"140","Mali","Round 6",2014-12-01,2014-12-14,13,"Bourem",1,2014-11-21,2014-11-21,2014-11-21,NA,1,1,1,NA,"Detonation: A suicide bomber blew himself up in a market, causing no casualties or major property damage. No group claimed the attack.","ACLED"
"141","Mali","Round 6",2014-12-01,2014-12-14,13,"Kidal",2,2014-11-20,2014-11-20,2014-11-20,NA,2,2,2,NA,"2 Tuaregs who had disappeared earlier in November on the border with Algeria were found dead near Kidal bound in a mat and a blanket. It is not clear who killed them.","ACLED"
"142","Mali","Round 6",2014-12-01,2014-12-14,13,"Kidal",2,2014-11-18,2014-11-18,2014-11-18,NA,0,0,0,NA,"2 youths were kidnapped from a convoy traveling from Algeria to Gao. They were taken by armed men near Anefis. Reports disagree about motives for the kidnapping.","ACLED"
"143","Mali","Round 6",2014-12-01,2014-12-14,13,"Gao",1,2014-11-15,2014-11-15,2014-11-15,NA,1,1,1,NA,"2 youths on a motorcycle opened fire on a bar, killing a young man and injuring 6 civilians, 4 seriously. The attackers are believed to have been Islamist militants.","ACLED"
"144","Mali","Round 6",2014-12-01,2014-12-14,13,"Tessalit",1,2014-11-07,2014-11-07,2014-11-07,NA,10,10,10,NA,"Two dozen """"militants"""" were neutralized (killed/captured) in an operation involving forces from France, Mauritania, Niger, Mali and Chad as part of Operation Barkhane. Uncertain number of deaths coded as 10.","ACLED"
"145","Mali","Round 6",2014-12-01,2014-12-14,13,"Bourem",1,2014-11-06,2014-11-06,2014-11-06,NA,0,0,0,NA,"3 civilians were wounded when their truck hit a mine.","ACLED"
"146","Mali","Round 6",2014-12-01,2014-12-14,13,"Tombouctou",2,2014-11-03,2014-11-03,2014-11-03,NA,0,0,0,NA,"The Malian military has allegedly besieged the town of Bira near Timbuktu.","ACLED"
"147","Mali","Round 6",2014-12-01,2014-12-14,13,"Bourem",1,2014-11-02,2014-11-02,2014-11-02,NA,2,2,2,NA,"2 soldiers were killed and at least 4 other wounded by a roadside explosive device near the town of Almoustrate.","ACLED"
"148","Mali","Round 6",2014-12-01,2014-12-14,13,"Douentza",1,2014-11-02,2014-11-02,2014-11-02,NA,1,1,1,NA,"The Malian military has claimed that it was engaged in a clash with the MAA near its base in the Gourma area. It has said that 20 rebels were arrested and 1 fighter killed, while a Tuareg spokesman said 3 rebels and 9 soldiers died. Independent sources say there were a number of deaths on both sides.","ACLED"
"149","Mali","Round 6",2014-12-01,2014-12-14,13,"Africa",1,2014-12-10,2014-12-10,2014-12-10,NA,7,6,6,NA,"US-wanted jihadist killed in Mali operation: French army;US-wanted jihadist killed in Mali operation: French army;French-Mali sweep kills Islamic radical commander;UPDATE 2-French forces in Mali kill Islamist on U.S. wanted list;French army kills 'big fish' jihadist in northern Mali;Au Mali, le mouvement jihadiste al-Mourabitoune confirme la mort d_hmed al-Tilemsi;Neutralisation d_n groupe armé terroriste au Mali par une opération conjointe des forces maliennes et Barkhane","UCDP"
"150","Mali","Round 6",2014-12-01,2014-12-14,13,"Africa",2,2014-11-19,2014-11-19,2014-11-19,NA,4,4,4,NA,"Nord du Mali : la guerre est déclarée entre le MNLA et Iyad Ag Ghali","UCDP"
"151","Niger","Round 6",2015-04-01,2015-04-18,17,"Diffa",1,2015-03-30,2015-03-30,2015-03-30,NA,40,40,40,NA,"Troops from Niger and Chad killed 40-47 Boko Haram fighters when they repelled an attack in Bosso.","ACLED"
"152","Niger","Round 6",2015-04-01,2015-04-18,17,"Diffa",2,2015-03-04,2015-03-04,2015-03-04,NA,4,4,4,NA,"Two Nigerien troops were killed by a landmine and the two Boko Haram fighters who activated the device were killed in response.","ACLED"
"153","Niger","Round 6",2015-04-01,2015-04-18,17,"Africa",1,2015-03-30,2015-03-30,2015-03-30,NA,47,0,40,NA,"Troops repel Boko Haram raid on Niger: Chad military;30 March","UCDP"
"154","Niger","Round 6",2015-04-01,2015-04-18,17,"Africa",1,2015-03-26,2015-03-26,2015-03-26,NA,1,1,1,NA,"26.Mar","UCDP"
"155","Niger","Round 6",2015-04-01,2015-04-18,17,"Africa",2,2015-03-04,2015-03-04,2015-03-04,NA,4,4,4,NA,"UPDATE 1-Boko Haram remote-control bomb kills two Niger soldiers","UCDP"
"156","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Abuja Municipal",1,2015-01-19,2015-01-19,2015-01-19,NA,0,0,0,NA,"Some retired workers of an defunct electricty company protested over non-payment of their entitlements and allowances.","ACLED"
"157","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Calabar-Municipal",1,2015-01-18,2015-01-18,2015-01-18,NA,2,2,2,NA,"An civilian anti-crime group attacks and kills two suspected robbers.","ACLED"
"158","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-19,2015-01-18,2015-01-20,NA,4,4,4,NA,"Vigilantes vs Boko Haram , Adamawa;Vigilante kills 4 fleeing insurgents in Guyuk","UCDP"
"159","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-19,2015-01-19,2015-01-19,NA,3,3,3,NA,"Boko Haram , Adamawa.","UCDP"
"160","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-18,2015-01-18,2015-01-18,NA,5,5,5,NA,"Suicide bomber kills four at Nigeria bus station;APPENDIX 1 BOMB ATTACKS JANUARY 2014  MARCH 2015","UCDP"
"161","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",2,2015-01-16,2015-01-01,2015-01-31,NA,100,100,100,NA,"At least 70 bodies found near Nigerian town freed from Boko Haram -Reuters witness;100 Bodies Found in Nigerian Town;'Hundreds' found dead, buried in Damasak, NE Nigeria","UCDP"
"162","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",3,2015-01-16,2015-01-01,2015-01-31,NA,3,3,3,NA,"Rise in cult violence and insecurity in Rivers state","UCDP"
"163","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-16,2015-01-16,2015-01-16,NA,15,6,6,NA,"NE Nigeria suicide bombing kills five, wounds 11: emergency services abu-cdc/sms/fg;Boko Haram Suicide Bomber, Gombe Description	15 people died when a Boko haram sui","UCDP"
"164","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-14,2015-01-14,2015-01-14,NA,78,41,41,NA,"Nigerian troops repel Islamist militant attack on town of Biu;Nigerian troops repel Islamist militant attack on town of Biu;Fifteen """"Chadian"""" Boko Haram fighters said killed by Nigerian army in Biu;Over 41 Boko Haram Terrorists Killed in Failed Attempt to Capture Biu;78 Terrorists Perish in Biu","UCDP"
"165","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-13,2015-01-13,2015-01-13,NA,3,3,3,NA,"Bomb kills one, wounds 18 in northeastern Nigeria's Gombe;Suicide bomber kills two, wounds 14 at mosque in northeastern Nigeria","UCDP"
"166","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-11,2015-01-11,2015-01-12,NA,26,26,26,NA,"'Troops Kill Many Boko Haram Fighters in Borno'","UCDP"
"167","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-11,2015-01-11,2015-01-11,NA,19,8,8,NA,"Two female suicide bombers kill four in NE Nigeria;Female Suicide Bombers Kill 39 in Potiskum, Maiduguri Markets;APPENDIX 1 BOMB ATTACKS JANUARY 2014  MARCH 2015","UCDP"
"168","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-10,2015-01-10,2015-01-10,NA,19,13,13,NA,"Suicide bombing by young girl in NE Nigeria, 10 dead: Red Cross, vigilante;Blast in market of Nigeria's Maiduguri kills at least 16;Boko Haram suspected after girl, 10, blows herself up in NE Nigeria;MONDAY MARKET MAIDUGURI","UCDP"
"169","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-10,2015-01-10,2015-01-10,NA,2,2,2,NA,"UPDATE 3-Child suicide bomber kills at least 16 in Nigeria;Boko Haram Bomb Explosion, Yobe","UCDP"
"170","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-10,2015-01-10,2015-01-10,NA,200,10,10,NA,"Child Suicide Bomber Kills 19 in Borno Market;20 Killed in Maiduguri Poultry Market Suicide Bombing","UCDP"
"171","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-09,2015-01-09,2015-01-09,NA,24,5,5,NA,"Blast in market of Nigeria's Maiduguri kills at least 16;Child Suicide Bomber Kills 19 in Borno Market","UCDP"
"172","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-07,2015-01-07,2015-01-07,NA,26,26,26,NA,"Boko Haram Kill 26, Borno","UCDP"
"173","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-06,2015-01-06,2015-01-06,NA,36,36,36,NA,"Suspected Boko Haram fighters kill 25 in Nigeria's Yobe State;THE ABDUCTION OF 218 WOMEN AND CHILDREN IN KATARKO, YOBE STATE","UCDP"
"174","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-05,2015-01-03,2015-01-07,NA,91,92,92,NA,"Boko Haramkills dozens in fresh raids in Nigerian town;Nigeria's northern town leader says hundreds killed in Boko Haram attack;Escape from Boko Haram: 'I kept stepping on dead bodies';Nigeria appeals for support after 'deadliest' Boko Haram attack;Boko HaramMassacre - Baga Survivors Narrate Ordeal","UCDP"
"175","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",2,2015-01-05,2015-01-03,2015-01-07,NA,92,91,91,NA,"Boko Haramkills dozens in fresh raids in Nigerian town;Nigeria's northern town leader says hundreds killed in Boko Haram attack;Escape from Boko Haram: 'I kept stepping on dead bodies';Nigeria appeals for support after 'deadliest' Boko Haram attack;Boko HaramMassacre - Baga Survivors Narrate Ordeal","UCDP"
"176","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-05,2015-01-05,2015-01-05,NA,3,3,3,NA,"Army vs Boko Haram , Borno","UCDP"
"177","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-04,2015-01-04,2015-01-04,NA,1,1,1,NA,"APPENDIX 1 BOMB ATTACKS JANUARY 2014  MARCH 2015","UCDP"
"178","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",2,2015-01-03,2015-01-03,2015-01-03,NA,1,1,1,NA,"Gunmen kill 100 Christian villagers in central Nigeria","UCDP"
"179","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-03,2015-01-03,2015-01-03,NA,17,17,17,NA,"Nigeria's Boko Haramkills dozens of soldiers in northeast, abducts 40 young men;Boko Haramkilled dozens seizing Nigerian town and army base;Boko Haramkills dozens in fresh raids in Nigerian town;Nigeria's northern town leader says hundreds killed in Boko Haram attack;Nigeria appeals for support after 'deadliest' Boko Haram attack;FACTSHEET: What happened in Baga?","UCDP"
"180","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2015-01-03,2015-01-03,2015-01-03,NA,40,40,40,NA,"Boko Haram Attacks, Yobe","UCDP"
"181","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",3,2015-01-02,2015-01-02,2015-01-02,NA,10,10,10,NA,"Fulani Herdsmen Kill 15 in Kaduna, 10 in Plateau","UCDP"
"182","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",3,2015-01-02,2015-01-02,2015-01-02,NA,15,15,15,NA,"Gunmen Kill 15 in Kaduna Village;Attacks by Islamic Extremists in Nigeria Leave at Least 28 Christians Dead","UCDP"
"183","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",3,2015-01-01,2015-01-01,2015-01-01,NA,2,2,2,NA,"Nigeria's Boko Haramkills dozens of soldiers in northeast, abducts 40 young men","UCDP"
"184","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-31,2014-12-31,2014-12-31,NA,7,7,7,NA,"Deadly attacks rock northern Nigeria","UCDP"
"185","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-31,2014-12-31,2014-12-31,NA,6,6,6,NA,"At least six killed by suicide bomb in bus in Nigeria's Yobe state: witness","UCDP"
"186","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-31,2014-12-31,2014-12-31,NA,1,1,1,NA,"Woman suicide attack on barracks in northeast Nigeria: witnesses;Deadly attacks rock northern Nigeria","UCDP"
"187","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-31,2014-12-31,2014-12-31,NA,3,3,3,NA,"Attacks by Islamic Extremists in Nigeria Leave at Least 28 Christians Dead","UCDP"
"188","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",2,2014-12-29,2014-12-29,2014-12-29,NA,15,15,15,NA,"Boko Haramkills 15 in northeast Nigerian town - witnesses;Boko Haram Attack, Borno","UCDP"
"189","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-28,2014-12-28,2014-12-28,NA,1,1,1,NA,"Bomb explosion reportedly kills one person in Nigerian school","UCDP"
"190","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-27,2014-12-27,2014-12-27,NA,10,10,10,NA,"Gunmen Kill 10 in Kaduna Post-Christmas Celebration;Attacks by Islamic Extremists in Nigeria Leave at Least 28 Christians Dead","UCDP"
"191","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-22,2014-12-22,2014-12-22,NA,20,0,0,NA,"Two blasts kill at least 20 in restive northern Nigeria after weekend violence","UCDP"
"192","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-22,2014-12-22,2014-12-22,NA,8,0,0,NA,"Bombs in north Nigeria bus station, market kill 27;35 Killed in Gombe, Bauchi Bombings","UCDP"
"193","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-21,2014-12-21,2014-12-21,NA,5,5,5,NA,"Female Bomber Kills 25 in Gombe","UCDP"
"194","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-20,2014-12-19,2014-12-21,NA,50,50,50,NA,"Yobe, Borno Villages Under Boko Haram Attacks;Boko HaramKills More Than 50 Elderly People","UCDP"
"195","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",5,2014-12-19,2014-12-19,2014-12-19,NA,82,82,82,NA,"Nigerian Military Kills """"Large Number"""" of Boko Haram Terrorists, Recovers Arms;80 Insurgents, 2 Soldiers Killed in Borno Gun Battle","UCDP"
"196","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-19,2014-12-19,2014-12-19,NA,3,3,3,NA,"Boko Haram said targeting the elderly during attacks in Nigeria","UCDP"
"197","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-19,2014-12-19,2014-12-19,NA,3,3,3,NA,"Boko Haram said targeting the elderly during attacks in Nigeria","UCDP"
"198","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-19,2014-12-19,2014-12-19,NA,1,0,0,NA,"Boko Haram vs Policeman, Yobe","UCDP"
"199","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-17,2014-12-17,2014-12-17,NA,75,75,75,NA,"Troops Kill 75 Boko Haram Militants in Borno","UCDP"
"200","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",3,2014-12-16,2014-12-16,2014-12-17,NA,22,3,10,NA,"Suspected herdsmen reportedly kill 22 in eastern Nigeria;Fulani herdsmen attack village, kill 10 Christians","UCDP"
"201","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-16,2014-12-01,2014-12-31,NA,3,3,3,NA,"Residents Flee As Gunmen Storm Rivers Community, Kill Two","UCDP"
"202","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-16,2014-12-16,2014-12-16,NA,10,10,10,NA,"Scores Feared Killed in Borno Border Village;Boko Haram Attack, Borno","UCDP"
"203","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-14,2014-12-14,2014-12-14,NA,200,200,200,NA,"Boko Haram Attack, Adamawa;MADAGALI: HUNDREDS OF MEN EXECUTED FOR NOT JOINING BOKO HARAM","UCDP"
"204","Nigeria","Round 6",2014-12-05,2015-01-19,45,"Africa",1,2014-12-12,2014-12-12,2014-12-12,NA,32,24,24,NA,"Islamists kill 32, kidnap scores in Nigeria: officials, witness;Officials: Boko Haram kidnaps 185 women and children, kills 32 people;CIVILIANS ABDUCTED FROM GUMSURI, 12 AND 14 DECEMBER 2014","UCDP"
